,year,bank,collection,outstanding,disbursement
41,1981,CBE,1.3061,1.2306,1.4405
42,1982,CBE,0.5701,2.1581,0.7278
43,1983,CBE,1.1026,1.8113,1.0536
44,1984,CBE,0.7798,0.9634,0.7584
45,1985,CBE,0.4627,2.0038,0.4044
46,1986,CBE,0.3722,2.233,0.361
47,1987,CBE,0.3852,2.5402,0.6227
48,1988,CBE,0.4879,3.01,0.6928
49,1989,CBE,0.4354,3.1456,0.4235
50,1990,CBE,0.3842,1.1928,0.3379
51,1991,CBE,0.3358,1.1166,0.34
52,1992,CBE,0.3301,1.2816,0.3643
53,1993,CBE,0.5371,2.5021,1.2709
54,1994,CBE,1.3354,3.1073,1.4548
55,1995,CBE,2.0385,5.0567,2.8868
56,1996,CBE,2.7029,6.8221,3.5716
57,1997,CBE,2.7568,7.9481,2.8525
58,1998,CBE,2.6689,8.7805,2.5864
59,1999,CBE,2.71003,8.8598,2.4581
60,2000,CBE,2.050118,10.096849,2.535103
61,2001,CBE,2.656454,10.283542,2.254608
62,2002,CBE,2.202742,9.695773,1.600588
63,2003,CBE,2.312635,8.361003,1.636127
64,2004,CBE,2.336108,8.134958,2.285433
65,2005,CBE,3.150385,9.556422,3.972199
66,2006,CBE,4.375826,9.295461,4.115936
67,2007,CBE,5.755158,9.758674,5.231725
68,2008,CBE,8.508184662,17.338525,14.418241109
69,2009,CBE,9.3405956,19.375593,11.098909691
70,2010,CBE,9.11645,22.859029,10.697049
71,2011,CBE,10.156739346,34.217685537,17.796822089
72,2012,CBE,15.7184,58.327,31.9403
73,2013,CBE,19.7004,70.4323,27.3659
74,2014,CBE,22.0255,89.6652,32.1841
75,2015,CBE,22.4741,111.4353,33.7155
76,2016,CBE,28.6107,138.8543,43.2967
77,2017,CBE,38.1266,154.164,42.8176
78,2018,CBE,41.41463,173.29436,41.28162
79,2019,CBE,70.43104,551.99327,53.74519
80,2020,CBE,82.69253,633.99145,141.41524
81,2021,CBE,54.33681,708.22596,111.45844
82,1981,CBB,0.0218,0.1714,0.031
83,1982,CBB,0.0217,0.1879,0.0203
84,1983,CBB,0.0343,0.1925,0.0247
85,1984,CBB,0.0317,0.2236,0.0453
86,1985,CBB,0.0316,0.2532,0.0394
87,1986,CBB,0.0322,0.2652,0.0195
88,1987,CBB,0.0426,0.2805,0.0363
89,1988,CBB,0.0468,0.3757,0.1103
90,1989,CBB,0.0733,0.408,0.0736
91,1990,CBB,0.0748,0.448,0.0807
92,1991,CBB,0.0733,0.4529,0.0479
93,1992,CBB,0.0662,0.4441,0.0282
94,1993,CBB,0.0597,0.432,0.165
95,1994,CBB,0.0733,0.5207,0.1852
96,1995,CBB,0.1481,0.6115,0.3363
97,1996,CBB,0.2951,0.7801,0.5025
98,1997,CBB,0.4247,0.9046,0.178
99,1998,CBB,0.5408,0.9053,0.0628
100,1999,CBB,0.4615,0.8916,0.0364
101,2000,CBB,0.115797,0.803101,0.039517
102,2001,CBB,0.145245,0.746079,0.018017
103,2002,CBB,0.120979,0.710359,0.039613
104,2003,CBB,0.117564,0.701459,0.06881
105,2004,CBB,0.098591,0.731173,0.100845
106,2005,CBB,0.127731,0.73952,0.219865
107,2006,CBB,0.191971,1.041746,0.430515
108,2007,CBB,0.288529,1.15339,0.350621
109,2008,CBB,0.315483,1.198394,0.233753
110,2009,CBB,0.399323,1.399661,0.385552
111,2010,CBB,0.496482,1.748336,0.494269
112,2011,CBB,0.5938275,1.726615203,0.3671959
113,2012,CBB,0.6054,1.8031,0.4608
114,2013,CBB,0.6877,1.7927,0.5482
115,2014,CBB,1.0885,2.332,1.288
116,2015,CBB,1.4215,2.7355,1.3548
117,2016,CBB,1.0033,0,0
118,2017,CBB,0,0,0
119,2018,CBB,0,0,0
120,2019,CBB,0,0,0
121,2020,CBB,0,0,0
122,2021,CBB,0,,
123,1981,DBE,0.0628,0.8248,0.3354
124,1982,DBE,0.1651,0.9825,0.3086
125,1983,DBE,0.3278,0.9661,0.1925
126,1984,DBE,0.1211,1.1265,0.2832
127,1985,DBE,0.1618,1.261,0.3004
128,1986,DBE,0.1469,1.4613,0.3452
129,1987,DBE,0.1282,1.6284,0.3014
130,1988,DBE,0.1133,1.8827,0.3429
131,1989,DBE,0.1457,2.0722,0.33
132,1990,DBE,0.1446,2.3047,0.3156
133,1991,DBE,0.1017,2.3918,0.156
134,1992,DBE,0.0616,2.4422,0.1584
135,1993,DBE,0.0699,2.5539,0.0404
136,1994,DBE,0.0748,0.9081,0.1099
137,1995,DBE,0.0764,1.0153,0.1152
138,1996,DBE,0.1291,1.7362,0.2297
139,1997,DBE,0.1373,1.9368,0.5578
140,1998,DBE,0.1453,2.81,1.1376
141,1999,DBE,0.1681,3.9965,0.7089
142,2000,DBE,0.457826,2.291065,0.545011
143,2001,DBE,0.424891,2.2879207,0.348863
144,2002,DBE,0.267101,2.270539,0.128061
145,2003,DBE,0.2912211,2.231102,0.056722
146,2004,DBE,0.223169,3.424489,0.290283
147,2005,DBE,0.378801,4.078187,0.582999
148,2006,DBE,0.575996,5.376466,0.572004
149,2007,DBE,0.778975,5.865471,0.723945
150,2008,DBE,0.669368,6.357968,0.795503
151,2009,DBE,0.628909,7.508722,1.297834
152,2010,DBE,0.555077,8.787238,2.74794323
153,2011,DBE,1.237262,11.98046,3.791805
154,2012,DBE,2.1561,15.12,4.5481
155,2013,DBE,2.5473,18.9485,5.3356
156,2014,DBE,3.0134,22.6668,5.4658
157,2015,DBE,4.0864,27.5804,6.8429
158,2016,DBE,4.1088,31.8656,6.3296
159,2017,DBE,4.7725,34.2028,5.569
160,2018,DBE,4.55106,39.15535,6.94847
161,2019,DBE,4.98772,47.57714,10.76409
162,2020,DBE,7.68547,51.1035,8.51066
163,2021,DBE,9.21212,55.43144,9.86379
205,1981,AwIB,0,0,0
206,1982,AwIB,0,0,0
207,1983,AwIB,0,0,0
